t,Cumulative_Probability
4.020000,0.866011
4.030000,0.866680
4.040000,0.867345
4.050000,0.868006
4.060000,0.868664
4.070000,0.869320
4.080000,0.869971
4.090000,0.870620
4.100000,0.871265
4.110000,0.871907
4.120000,0.872546
4.130000,0.873182
4.140000,0.873814
4.150000,0.874444
4.160000,0.875070
4.170000,0.875693
4.180000,0.876313
4.190000,0.876930
4.200000,0.877544
4.210000,0.878154
4.220000,0.878762
4.230000,0.879367
4.240000,0.879968
4.250000,0.880567
4.260000,0.881163
4.270000,0.881755
4.280000,0.882345
4.290000,0.882932
4.300000,0.883516
4.310000,0.884097
4.320000,0.884675
4.330000,0.885250
4.340000,0.885822
4.350000,0.886392
4.360000,0.886958
4.370000,0.887522
4.380000,0.888083
4.390000,0.888641
4.400000,0.889197
4.410000,0.889749
4.420000,0.890299
4.430000,0.890846
4.440000,0.891391
4.450000,0.891933
4.460000,0.892472
4.470000,0.893008
4.480000,0.893541
4.490000,0.894072
4.500000,0.894601
4.510000,0.895126
4.520000,0.895650
4.530000,0.896170
4.540000,0.896688
4.550000,0.897203
4.560000,0.897716
4.570000,0.898226
4.580000,0.898734
4.590000,0.899239
4.600000,0.899741
4.610000,0.900241
4.620000,0.900739
4.630000,0.901234
4.640000,0.901726
4.650000,0.902217
4.660000,0.902704
4.670000,0.903190
4.680000,0.903672
4.690000,0.904153
4.700000,0.904631
4.710000,0.905106
4.720000,0.905580
4.730000,0.906051
4.740000,0.906519
4.750000,0.906986
4.760000,0.907449
4.770000,0.907911
4.780000,0.908370
4.790000,0.908827
4.800000,0.909282
4.810000,0.909735
4.820000,0.910185
4.830000,0.910633
4.840000,0.911078
4.850000,0.911522
4.860000,0.911963
4.870000,0.912402
4.880000,0.912839
4.890000,0.913274
4.900000,0.913706
4.910000,0.914137
4.920000,0.914565
4.930000,0.914991
4.940000,0.915415
4.950000,0.915837
4.960000,0.916257
4.970000,0.916674
4.980000,0.917090
4.990000,0.917504
5.000000,0.917915
5.010000,0.918324
5.020000,0.918732
5.030000,0.919137
5.040000,0.919540
5.050000,0.919942
5.060000,0.920341
5.070000,0.920738
5.080000,0.921134
5.090000,0.921527
5.100000,0.921918
5.110000,0.922308
5.120000,0.922695
5.130000,0.923081
5.140000,0.923464
5.150000,0.923846
5.160000,0.924226
5.170000,0.924604
5.180000,0.924980
5.190000,0.925354
5.200000,0.925726
5.210000,0.926097
5.220000,0.926465
5.230000,0.926832
5.240000,0.927197
5.250000,0.927560
5.260000,0.927922
5.270000,0.928281
5.280000,0.928639
5.290000,0.928995
5.300000,0.929349
5.310000,0.929701
5.320000,0.930052
5.330000,0.930401
5.340000,0.930748
5.350000,0.931093
5.360000,0.931437
5.370000,0.931779
5.380000,0.932119
5.390000,0.932458
5.400000,0.932794
5.410000,0.933130
5.420000,0.933463
5.430000,0.933795
5.440000,0.934125
5.450000,0.934454
5.460000,0.934781
5.470000,0.935106
5.480000,0.935430
5.490000,0.935752
5.500000,0.936072
5.510000,0.936391
5.520000,0.936708
5.530000,0.937024
5.540000,0.937338
5.550000,0.937651
5.560000,0.937961
5.570000,0.938271
5.580000,0.938579
5.590000,0.938885
5.600000,0.939190
5.610000,0.939493
5.620000,0.939795
5.630000,0.940095
5.640000,0.940394
5.650000,0.940691
5.660000,0.940987
5.670000,0.941281
5.680000,0.941574
5.690000,0.941866
5.700000,0.942156
5.710000,0.942444
5.720000,0.942731
5.730000,0.943017
5.740000,0.943301
5.750000,0.943584
5.760000,0.943865
5.770000,0.944145
5.780000,0.944424
5.790000,0.944701
5.800000,0.944977
5.810000,0.945251
5.820000,0.945524
5.830000,0.945796
5.840000,0.946066
5.850000,0.946335
5.860000,0.946603
5.870000,0.946869
5.880000,0.947134
5.890000,0.947398
5.900000,0.947660
5.910000,0.947921
5.920000,0.948181
5.930000,0.948440
5.940000,0.948697
5.950000,0.948953
5.960000,0.949207
5.970000,0.949460
5.980000,0.949713
5.990000,0.949963
6.000000,0.950213
6.010000,0.950461
6.020000,0.950708
6.030000,0.950954
6.040000,0.951199
6.050000,0.951442
6.060000,0.951684
6.070000,0.951925
6.080000,0.952165
6.090000,0.952404
6.100000,0.952641
6.110000,0.952877
6.120000,0.953112
6.130000,0.953346
6.140000,0.953579
6.150000,0.953810
6.160000,0.954041
6.170000,0.954270
6.180000,0.954498
6.190000,0.954725
6.200000,0.954951
6.210000,0.955175
6.220000,0.955399
6.230000,0.955621
6.240000,0.955843
6.250000,0.956063
6.260000,0.956282
6.270000,0.956500
6.280000,0.956717
6.290000,0.956933
6.300000,0.957148
6.310000,0.957362
6.320000,0.957574
6.330000,0.957786
6.340000,0.957996
6.350000,0.958206
6.360000,0.958414
6.370000,0.958622
6.380000,0.958828
6.390000,0.959033
